source,target
531655941,303941159
531655941,1077111296
531655941,1224944496
531655941,494425148
531655941,282768438
531655941,305728291
531655941,306311289
531655941,1.28463E+18
531655941,330339823
531655941,303941159
531655941,282768438
531655941,1224944496
531655941,270563992
531655941,1224944496
531655941,303941159
531655941,1224944496
531655941,1224944496
531655941,270563992
531655941,303941159
531655941,303941159
531655941,270563992
531655941,1224944496
531655941,270563992
531655941,270563992
531655941,270563992
531655941,303941159
531655941,1224944496
531655941,1224944496
531655941,1077111296
531655941,1224944496
531655941,1224944496
531655941,1077111296
531655941,303941159
531655941,303941159
531655941,303941159
531655941,340308063
531655941,303941159
531655941,1077111296
531655941,1077111296
14342564,299798272
14342564,299798272
14342564,454313925
14342564,454313925
14342564,586909317
14342564,36711678
14342564,16878156
14342564,454313925
14342564,454313925
14342564,726951074
14342564,726951074
14342564,726951074
14342564,726951074
14342564,726951074
14342564,299798272
14342564,821401298
14342564,7.47469E+17
14342564,16878156
14342564,588387056
14342564,454313925
14342564,454313925
14342564,1446255144
14342564,454313925
14342564,916735110
14342564,454313925
14342564,36711678
14342564,299798272
14342564,454313925
14342564,1446255144
14342564,454313925
14342564,299798272
14342564,299798272
14342564,454313925
14342564,454313925
14342564,36711678
14342564,454313925
14342564,1446255144
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,594736235
14342564,594736235
14342564,299798272
14342564,14342564
14342564,454313925
14342564,454313925
14342564,454313925
14342564,454313925
14342564,299798272
14342564,16878156
14342564,299798272
14342564,299798272
14342564,586909317
14342564,16878156
14342564,299798272
14342564,36711678
14342564,36711678
14342564,36711678
14342564,18487179
14342564,16028241
14342564,36711678
14342564,299798272
14342564,299798272
14342564,454313925
14342564,299798272
14342564,454313925
14342564,454313925
14342564,36711678
14342564,299798272
14342564,299798272
14342564,36711678
14342564,299798272
14342564,454313925
14342564,916735110
14342564,454313925
14342564,299798272
14342564,454313925
14342564,299798272
14342564,299798272
14342564,454313925
14342564,454313925
14342564,726951074
14342564,726951074
14342564,726951074
14342564,726951074
14342564,454313925
14342564,454313925
14342564,916735110
14342564,916735110
14342564,45885508
14342564,7.65872E+17
14342564,36711678
14342564,1446255144
14342564,454313925
14342564,299798272
14342564,299798272
14342564,299798272
14342564,588387056
14342564,299798272
14342564,454313925
14342564,299798272
14342564,36711678
14342564,454313925
14342564,299798272
14342564,588387056
14342564,299798272
14342564,619247259
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,454313925
14342564,299798272
14342564,299798272
14342564,16878156
14342564,726951074
14342564,726951074
14342564,726951074
14342564,726951074
14342564,619247259
14342564,454313925
14342564,454313925
14342564,821401298
14342564,36711678
14342564,7.47469E+17
14342564,7.47469E+17
14342564,7.47469E+17
14342564,299798272
14342564,1446255144
14342564,299798272
14342564,454313925
14342564,299798272
14342564,454313925
14342564,299798272
14342564,454313925
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,299798272
14342564,454313925
14342564,454313925
14342564,726951074
14342564,726951074
14342564,726951074
14342564,726951074
14342564,454313925
14342564,586909317
14342564,454313925
14342564,299798272
14342564,299798272
14342564,454313925
14342564,454313925
14342564,552985513
14342564,192942213
14342564,192942213
14342564,36711678
14342564,454313925
14342564,454313925
14342564,726951074
14342564,726951074
14342564,726951074
14342564,726951074
454313925,299798272
454313925,595903268
454313925,552985513
454313925,299798272
454313925,607867793
454313925,588387056
454313925,454313925
454313925,314227065
454313925,1446255144
454313925,299798272
454313925,607867793
454313925,599632006
454313925,590286441
454313925,399004430
454313925,879162199
454313925,596964216
454313925,590094131
454313925,1446255144
454313925,299798272
454313925,586909317
454313925,3119449389
454313925,1446255144
454313925,299798272
454313925,622804972
454313925,299798272
454313925,588387056
454313925,821401298
454313925,594749537
454313925,586909317
454313925,36711678
454313925,16878156
454313925,586909317
454313925,821401298
454313925,821401298
454313925,7.47469E+17
454313925,607867793
454313925,632301127
454313925,588387056
454313925,607867793
454313925,7.42351E+17
454313925,613770208
454313925,552985513
454313925,1446255144
454313925,821401298
454313925,305256777
454313925,2544227706
454313925,2544227706
454313925,36711678
454313925,602065304
454313925,1079654130
454313925,588387056
454313925,596964216
454313925,588387056
454313925,1446255144
454313925,1446255144
454313925,36711678
454313925,1446255144
454313925,600528888
454313925,590099044
454313925,586909317
454313925,299798272
454313925,46648807
454313925,590074258
454313925,821401298
454313925,36711678
454313925,1446255144
454313925,594736235
454313925,1446255144
454313925,594736235
454313925,1446255144
454313925,594736235
454313925,596687292
454313925,590168938
454313925,594736235
454313925,299798272
454313925,299798272
454313925,299890254
454313925,590074258
454313925,1446255144
454313925,619247259
454313925,299798272
454313925,594736235
454313925,16669075
454313925,590074258
454313925,16669075
454313925,16669075
454313925,16669075
454313925,16669075
454313925,299798272
454313925,594736235
454313925,594736235
454313925,299798272
454313925,594736235
454313925,16878156
454313925,36711678
454313925,594736235
454313925,3331224411
454313925,586909317
454313925,1394917244
454313925,3331224411
454313925,36711678
454313925,299798272
454313925,586909317
454313925,299798272
454313925,299798272
454313925,299798272
454313925,299798272
454313925,299798272
454313925,594736235
454313925,594736235
454313925,3331224411
454313925,299798272
454313925,299798272
454313925,36711678
454313925,3331224411
454313925,1446255144
454313925,594736235
454313925,299798272
454313925,16028241
454313925,908090677
454313925,835787268
120073239,280425258
120073239,8.31793E+17
120073239,8.18777E+17
120073239,191143493
120073239,480536738
120073239,1.13812E+18
120073239,3244583290
120073239,8.31793E+17
120073239,819341370
120073239,2891891561
120073239,193908521
120073239,819341370
120073239,1.30408E+18
120073239,1.05179E+18
120073239,8.31793E+17
120073239,1.33159E+18
120073239,98636576
120073239,2162878008
120073239,1.23189E+18
120073239,3378623649
120073239,1.00503E+18
120073239,372913213
120073239,1.13812E+18
120073239,280425258
120073239,8.18777E+17
120073239,82084630
120073239,90134358
120073239,1.13812E+18
120073239,819341370
120073239,304316780
120073239,90134358
120073239,191143493
120073239,1.00503E+18
120073239,1.22214E+18
120073239,1.14487E+18
120073239,237256235
120073239,3244583290
120073239,125632807
120073239,1.13812E+18
120073239,8.31793E+17
120073239,90134358
120073239,65615210
120073239,191143493
120073239,90134358
120073239,112978043
120073239,65615210
120073239,90134358
120073239,1.13812E+18
120073239,90134358
120073239,1.18402E+18
120073239,1.05179E+18
120073239,8.31793E+17
120073239,9.72142E+17
120073239,90134358
120073239,1.33159E+18
120073239,1.05179E+18
120073239,1.23189E+18
120073239,1.00503E+18
120073239,191143493
120073239,191143493
120073239,1.30408E+18
120073239,191143493
120073239,819341370
120073239,8.31793E+17
120073239,2320865671
120073239,1.05179E+18
120073239,7.49945E+17
120073239,525104104
120073239,8.18777E+17
120073239,1.13812E+18
120073239,1.00251E+18
120073239,1185982946
120073239,1.00251E+18
120073239,1.20667E+18
120073239,7.49945E+17
120073239,1.05179E+18
120073239,7.14783E+17
120073239,8.18777E+17
120073239,1.05179E+18
120073239,1.38958E+18
120073239,211114189
